x0000,y0000
75.288,103.52
75.687,103.55
76.086,113.02
76.485,112.82
76.884,113.11
77.283,112.15
77.682,111.17
78.081,111.72
78.48,77.5
78.878,74.82
79.276,74.25
79.674,109.32
80.073,110.66
80.472,110.25
80.871,110.56
81.27,110.48
81.669,110.13
82.068,110.53
82.467,109.89
82.866,109.81
83.265,110.92
83.664,110.02
84.063,109.53
84.462,108.83
84.861,108.8
85.26,108.78
85.659,107.75
86.058,108.34
86.457,108.2
86.856,107.84
87.255,107.24
87.654,107.04
88.053,107.55
88.452,107.46
88.851,107.26
89.25,107.18
89.649,106.99
90.048,106.53
90.447,106.79
90.846,106.64
91.245,107.32
91.644,106.76
92.043,107.64
92.442,108.29
92.841,108.24
93.24,107.96
93.639,107.58
94.038,107.62
94.437,107.68
94.836,108.06
95.235,107.22
95.634,107.26
96.033,106.64
96.432,106.66
96.831,106.78
97.23,106.48
97.629,106.84
98.028,106.82
98.427,107.17
98.826,107.19
99.225,107.11
99.624,106.53
100.023,107.09
100.423,106.49
100.823,107.23
101.223,107.36
101.623,107.14
102.023,107.9
102.423,106.79
102.823,107.06
103.223,107.42
103.623,106.95
104.023,106.89
104.423,107.47
104.823,107.04
105.223,107.66
105.623,107.47
106.023,107.43
106.423,107.97
106.823,107.9
107.223,108.12
107.623,108.41
108.023,107.69
108.423,107.32
108.823,107.09
109.223,107.74
109.623,108.
110.023,107.62
110.423,107.67
110.823,107.39
111.223,107.24
111.623,107.49
112.023,107.06
112.423,107.53
112.823,107.4
113.223,108.
113.623,107.61
114.023,107.66
114.423,108.24
114.823,108.39
115.223,108.57
115.623,108.35
116.023,107.92
116.423,107.82
116.823,108.59
117.223,108.42
117.623,108.56
118.023,108.82
118.423,109.3
118.823,108.56
119.223,108.28
119.623,108.12
120.023,107.73
120.423,107.38
120.823,107.28
121.223,106.2
121.623,105.69
122.023,104.24
122.423,103.08
122.823,101.89
123.223,101.
123.623,100.54
124.023,100.88
124.423,101.83
124.823,103.19
125.223,104.09
125.623,104.83
126.023,104.61
126.423,104.35
126.823,105.27
127.223,105.91
127.623,105.99
128.023,107.13
128.423,106.7
128.823,106.28
129.223,106.
129.623,104.76
130.023,103.2
130.423,101.74
130.823,101.16
131.223,101.11
131.623,101.91
132.023,103.46
132.423,103.72
132.823,103.5
133.223,103.1
133.623,102.84
134.023,101.79
134.423,101.32
134.823,100.9
135.223,99.68
135.622,97.44
136.021,94.29
136.42,65.19
136.819,58.13
137.218,56.42
137.617,84.23
138.016,86.25
138.415,78.82
138.814,44.51
139.213,36.39
139.612,34.99
140.011,73.59
140.41,80.19
140.809,79.32
141.208,48.92
141.607,39.65
142.006,39.25
142.405,58.69
142.804,66.1
143.203,62.31
143.602,72.27
144.001,74.48
144.4,75.18
144.799,44.03
145.198,27.03
145.597,26.35
145.995,31.3
146.394,33.54
146.793,32.59
147.192,57.56
147.591,68.6
147.99,65.
148.389,42.23
148.788,24.84
149.187,22.82
149.586,17.93
149.985,12.05
150.382,11.94
150.779,13.13
151.176,14.43
151.574,14.93
151.972,25.8
152.371,47.88
152.77,53.11
153.169,48.58
153.568,32.27
153.967,32.36
154.366,30.64
154.765,18.52
155.163,18.24
155.561,19.
155.959,51.95
156.358,51.87
156.757,47.84
157.156,27.63
157.555,31.05
157.954,34.25
158.353,29.05
158.752,31.52
159.151,34.35
159.55,29.33
159.949,30.49
160.348,31.23
160.747,81.57
161.146,86.01
161.545,86.67
161.944,67.07
162.343,66.26
162.742,65.87
163.141,48.19
163.54,43.11
163.939,40.8
164.338,33.1
164.737,36.
165.136,41.69
165.535,78.63
165.934,85.48
166.333,85.33
166.732,72.67
167.131,74.23
167.53,75.51
167.929,59.01
168.328,57.45
168.727,56.77
169.126,94.76
169.525,97.21
169.924,97.36
170.323,99.91
170.722,100.58
171.122,99.67
171.521,65.85
171.92,58.35
172.319,57.85
172.718,68.74
173.117,70.66
173.516,70.09
173.915,86.2
174.314,90.07
174.713,90.46
175.112,93.07
175.511,92.79
175.91,93.27
176.309,101.41
176.709,102.58
177.109,103.34
177.509,78.83
177.908,69.17
178.307,69.25
178.706,62.85
179.105,61.5
179.504,61.34
179.903,95.62
180.302,105.59
180.702,105.88
181.102,83.92
181.501,71.94
181.9,72.09
182.299,67.97
182.698,65.64
183.097,66.25
183.496,87.82
183.895,102.07
184.295,102.23
184.695,100.14
185.095,98.48
185.494,98.27
185.893,104.49
186.293,107.95
186.693,107.66
187.093,91.24
187.492,69.19
187.891,68.78
188.29,67.96
188.689,65.94
189.088,66.2
189.487,85.76
189.886,109.42
190.286,110.64
190.686,100.04
191.086,68.26
191.485,67.48
191.884,74.2
192.283,95.42
192.682,96.9
193.081,92.91
193.48,69.17
193.879,68.54
194.278,71.41
194.677,111.11
195.077,112.47
195.477,112.74
195.877,96.04
196.276,95.38
196.675,95.53
197.074,73.72
197.473,72.58
197.872,72.36
198.271,69.16
198.67,69.09
199.069,69.08
199.468,97.94
199.867,99.59
200.266,99.21
200.665,112.75
201.065,113.3
201.465,112.89
201.865,77.91
202.264,75.58
202.663,75.5
203.062,72.56
203.461,72.06
203.86,72.4
204.259,111.03
204.659,113.42
205.059,112.96
205.459,113.83
205.859,114.16
206.259,113.98
206.659,113.94
207.059,113.64
207.459,113.29
207.859,86.07
208.258,83.03
208.657,82.51
209.056,101.02
209.456,103.3
209.856,103.57
210.256,75.44
210.655,70.29
211.054,70.37
211.453,107.3
211.853,112.22
212.253,112.53
212.653,87.7
213.052,83.02
213.451,82.47
213.85,97.5
214.249,100.28
214.649,100.81
215.049,111.18
215.449,113.
215.849,112.81
216.249,79.67
216.648,70.75
217.047,70.1
217.446,104.23
217.846,113.05
218.246,113.33
218.646,90.11
219.045,82.57
219.444,82.37
219.843,92.69
220.242,95.24
220.641,95.57
221.04,77.29
221.439,70.07
221.838,69.81
222.237,100.31
222.637,112.51
223.037,112.68
223.437,91.
223.836,79.14
224.235,78.69
224.634,90.17
225.033,98.86
