x0000,y0000
105.623,27.5
106.023,27.5
106.423,27.5
106.823,27.5
107.223,27.5
107.623,27.5
108.023,27.5
108.423,27.5
108.823,27.5
109.223,27.5
109.623,27.5
110.023,27.5
110.423,27.5
110.823,27.5
111.223,27.5
111.623,27.5
112.023,27.5
112.423,27.5
112.823,27.5
113.223,27.5
113.623,27.5
114.023,27.5
114.423,27.5
114.823,27.5
115.223,27.5
115.623,27.5
116.023,27.5
116.423,27.5
116.823,27.5
117.223,27.5
117.623,27.5
118.023,27.5
118.423,27.5
118.823,27.5
119.223,27.5
119.623,27.5
120.023,27.5
120.423,27.5
120.823,27.5
121.223,27.5
121.623,27.5
122.023,27.5
122.423,27.5
122.823,27.5
123.223,27.5
123.623,27.5
124.023,27.5
124.423,27.5
124.823,27.5
125.223,27.5
125.623,27.5
126.023,27.5
126.423,27.5
126.823,27.5
127.223,27.5
127.623,27.5
128.023,27.5
128.423,27.5
128.823,27.5
129.223,27.5
129.623,27.5
130.023,27.5
130.423,27.5
130.823,27.5
131.223,27.5
131.623,27.5
132.023,27.5
132.423,27.5
132.823,27.5
133.223,27.5
133.623,27.5
134.023,27.5
134.423,27.5
134.823,27.5
135.223,27.5
135.622,27.5
136.021,27.5
136.42,32.6
136.819,32.6
137.218,32.6
137.617,27.4
138.016,27.4
138.415,27.4
138.814,36.
139.213,36.
139.612,36.
140.011,21.7
140.41,21.7
140.809,21.7
141.208,32.6
141.607,32.6
142.006,32.6
142.405,26.9
142.804,26.9
143.203,26.9
143.602,21.2
144.001,21.2
144.4,21.2
144.799,36.
145.198,36.
145.597,36.
145.995,32.6
146.394,32.6
146.793,32.6
147.192,20.7
147.591,20.7
147.99,20.7
148.389,27.4
148.788,27.4
149.187,27.4
149.586,36.
149.985,36.
150.382,36.
150.779,33.1
151.176,33.1
151.574,33.1
151.972,21.2
152.371,21.2
152.77,21.2
153.169,27.9
153.568,27.9
153.967,27.9
154.366,36.
154.765,36.
155.163,36.
155.561,21.7
155.959,21.7
156.358,21.7
156.757,28.4
157.156,28.4
157.555,28.4
157.954,28.4
158.353,32.6
158.752,32.6
159.151,32.6
159.55,36.
159.949,36.
160.348,36.
160.747,22.2
161.146,22.2
161.545,22.2
161.944,28.9
162.343,28.9
162.742,28.9
163.141,32.6
163.54,32.6
163.939,32.6
164.338,36.
164.737,36.
165.136,36.
165.535,29.4
165.934,29.4
166.333,29.4
166.732,32.1
167.131,32.1
167.53,32.1
167.929,35.5
168.328,35.5
168.727,35.5
169.126,22.7
169.525,22.7
169.924,22.7
170.323,23.2
170.722,23.2
171.122,23.2
171.521,35.
171.92,35.
172.319,35.
172.718,32.6
173.117,32.6
173.516,32.6
173.915,29.4
174.314,29.4
174.713,29.4
175.112,28.9
175.511,28.9
175.91,28.9
176.309,23.7
176.709,23.7
177.109,23.7
177.509,33.1
177.908,33.1
178.307,33.1
178.706,34.5
179.105,34.5
179.504,34.5
179.903,24.2
180.302,24.2
180.702,24.2
181.102,32.9
181.501,32.9
181.9,32.9
182.299,34.
182.698,34.
183.097,34.
183.496,28.4
183.895,28.4
184.295,28.4
184.695,28.9
185.095,28.9
185.494,28.9
185.893,24.7
186.293,24.7
186.693,24.7
187.093,33.4
187.492,33.4
187.891,33.4
188.29,34.
188.689,34.
189.088,34.
189.487,25.2
189.886,25.2
190.286,25.2
190.686,33.9
191.086,33.9
191.485,33.9
191.884,29.4
192.283,29.4
192.682,29.4
193.081,34.
193.48,34.
193.879,34.
194.278,25.7
194.677,25.7
195.077,25.7
195.477,29.9
195.877,29.9
196.276,29.9
196.675,29.9
197.074,33.4
197.473,33.4
197.872,33.4
198.271,34.
198.67,34.
199.069,34.
199.468,29.4
199.867,29.4
200.266,29.4
200.665,26.2
201.065,26.2
201.465,26.2
201.865,32.9
202.264,32.9
202.663,32.9
203.062,33.5
203.461,33.5
203.86,33.5
204.259,26.2
204.659,26.2
205.059,26.2
205.459,26.2
205.859,26.2
206.259,26.2
206.659,26.2
207.059,26.2
207.459,26.2
207.859,31.7
208.258,31.7
208.657,31.7
209.056,28.8
209.456,28.8
209.856,28.8
210.256,33.7
210.655,33.7
211.054,33.7
211.453,25.5
211.853,25.5
212.253,25.5
212.653,31.7
213.052,31.7
213.451,31.7
213.85,29.3
214.249,29.3
214.649,29.3
215.049,26.
215.449,26.
215.849,26.
216.249,33.7
216.648,33.7
217.047,33.7
217.446,26.5
217.846,26.5
218.246,26.5
218.646,31.7
219.045,31.7
219.444,31.7
219.843,29.8
220.242,29.8
220.641,29.8
221.04,33.7
221.439,33.7
221.838,33.7
222.237,26.
222.637,26.
223.037,26.
223.437,32.2
223.836,32.2
224.235,32.2
224.634,29.3
225.033,29.3
225.432,29.3
225.831,33.7
226.23,33.7
226.629,33.7
227.028,25.5
227.427,25.5
227.827,25.5
228.227,29.8
228.627,29.8
229.026,29.8
229.425,32.
229.824,32.
230.223,32.
230.622,33.7
231.021,33.7
231.42,33.7
231.819,30.3
232.218,30.3
232.617,30.3
233.016,25.3
233.415,25.3
233.815,25.3
234.215,31.5
234.615,31.5
235.014,31.5
235.413,33.7
235.812,33.7
236.211,33.7
236.61,33.7
237.009,25.8
237.409,25.8
237.809,25.8
238.209,31.5
238.608,31.5
239.007,31.5
239.406,30.8
239.805,30.8
240.204,30.8
240.603,33.2
241.002,33.2
241.401,33.2
241.8,25.3
242.2,25.3
242.6,25.3
243.,32.
243.399,32.
243.798,32.
244.197,31.3
244.596,31.3
244.995,31.3
245.394,33.2
245.793,33.2
246.192,33.2
246.591,25.3
246.991,25.3
247.391,25.3
247.791,32.5
248.19,32.5
248.589,32.5
248.988,31.8
249.387,31.8
249.786,31.8
250.185,33.2
250.584,33.2
250.983,33.2
251.382,25.8
251.782,25.8
252.182,25.8
252.582,32.
252.981,32.
253.38,32.
253.779,31.3
254.178,31.3
254.577,31.3
254.976,32.7
255.375,32.7
255.774,32.7
256.173,26.3
256.573,26.3
256.973,26.3
257.373,31.6
257.772,31.6
258.167,31.6
258.562,31.8
258.957,31.8
259.352,31.8
259.747,32.7
260.142,32.7
