# Time(s)	Target_GMPP(W)	M1_Standard_INC(W)	M2_INC_Fuzzy(W)
38.7768	138.49	126.59	136.80
38.8991	138.49	126.59	137.22
39.0214	138.49	126.59	137.63
39.1437	138.49	129.39	138.04
39.2661	138.49	132.18	138.04
39.3884	138.49	132.88	138.04
39.5107	138.49	132.88	138.04
39.6330	138.49	132.88	137.63
39.7554	138.49	132.88	137.22
39.8777	138.49	132.18	136.80
40.0000	138.49	127.99	136.39
40.1223	138.49	127.99	136.39
40.2446	138.49	127.99	136.39
40.3670	138.49	127.99	136.39
40.4893	138.49	130.09	136.80
40.6116	138.49	132.18	137.22
40.7339	138.49	135.69	137.63
40.8563	138.49	135.69	138.04
40.9786	138.49	135.69	138.04
41.1009	138.49	135.69	138.04
41.2232	138.49	135.69	138.04
41.3456	138.49	135.69	137.63
41.4679	138.49	132.88	137.22
41.5902	138.49	130.78	136.80
41.7125	138.49	127.99	136.39
41.8349	138.49	127.99	136.39
41.9572	138.49	127.99	136.39
42.0795	138.49	127.99	136.39
42.2018	138.49	127.99	136.39
42.3242	138.49	127.99	136.39
42.4465	138.49	127.99	136.39
42.5688	138.49	127.99	136.39
42.6911	138.49	127.99	136.49
42.8135	138.49	127.99	136.59
42.9358	138.49	128.69	137.00
43.0581	138.49	130.09	137.42
43.1804	138.49	131.48	137.83
43.3028	138.49	132.88	138.25
43.4251	138.49	135.69	138.66
43.5474	138.49	135.69	138.76
43.6697	138.49	135.69	138.86
43.7920	138.49	135.69	138.65
43.9144	138.49	136.39	138.43
44.0367	138.49	134.28	138.32
44.1590	138.49	129.39	138.21
44.2813	138.49	125.88	138.09
44.4037	138.49	122.38	138.19
44.5260	138.49	121.68	138.29
44.6483	138.49	121.68	138.39
44.7706	138.49	121.68	138.61
44.8930	138.49	121.68	138.71
45.0153	138.49	125.88	138.83
45.1376	138.49	128.69	138.95
45.2599	138.49	132.18	139.06
45.3823	138.49	137.09	139.17
45.5046	138.49	137.79	139.29
45.6269	138.49	137.79	139.29
45.7492	138.49	137.79	139.07
45.8716	138.49	136.39	138.86
45.9939	138.49	133.58	138.65
46.1162	138.49	132.18	138.43
46.2385	138.49	129.39	138.22
46.3609	138.49	129.39	138.00
46.4832	138.49	129.39	137.79
46.6055	138.49	129.39	138.00
46.7278	138.49	132.18	138.22
46.8502	138.49	135.69	138.43
46.9725	138.49	136.39	138.65
47.0948	138.49	136.39	138.55
47.2171	138.49	136.39	138.44
47.3394	138.49	137.09	138.25
47.4618	138.49	133.58	137.83
47.5841	138.49	130.78	137.42
47.7064	138.49	127.99	137.00
47.8287	138.49	127.99	136.59
47.9511	138.49	127.99	136.49
48.0734	138.49	127.99	136.39
48.1957	138.49	128.69	136.39
48.3180	138.49	131.48	136.39
48.4404	138.49	132.18	136.39
48.5627	138.49	133.58	136.39
48.6850	138.49	134.99	136.39
48.8073	138.49	135.69	136.39
48.9297	138.49	135.69	136.39
49.0520	138.49	135.69	136.39
49.1743	138.49	135.69	136.39
49.2966	138.49	135.69	136.39
49.4190	138.49	134.99	136.39
49.5413	138.49	134.99	136.39
49.6636	138.49	132.88	136.28
49.7859	138.49	130.78	136.19
49.9083	138.49	127.99	136.09
50.0306	138.49	123.08	135.99
50.1529	138.49	122.38	135.89
50.2752	138.49	122.38	135.79
50.3976	138.49	122.38	136.21
50.5199	138.49	122.38	136.72
50.6422	138.49	124.48	137.23
50.7645	138.49	127.99	137.74
50.8869	138.49	131.48	138.26
51.0092	138.49	133.58	138.77
51.1315	138.49	133.58	139.29
51.2538	138.49	133.58	138.67
51.3761	138.49	133.58	138.06
51.4985	138.49	133.58	137.45
51.6208	138.49	132.88	136.83
51.7431	138.49	130.78	136.22
51.8654	138.49	130.09	135.60
51.9878	138.49	130.09	134.99
52.1101	138.49	130.09	134.99
52.2324	138.49	130.09	134.99
52.3547	138.49	130.09	134.99
52.4771	138.49	130.78	135.09
52.5994	138.49	131.48	135.19
52.7217	138.49	132.18	135.28
52.8440	138.49	132.18	135.39
52.9664	138.49	132.88	135.49
53.0887	138.49	132.88	135.58
53.2110	138.49	132.88	135.69
53.3333	138.49	133.58	135.69
53.4557	138.49	134.28	135.69
53.5780	138.49	134.28	136.21
53.7003	138.49	134.28	136.72
53.8226	138.49	134.99	137.23
53.9450	138.49	134.99	137.23
54.0673	138.49	135.69	137.23
54.1896	138.49	136.39	137.23
54.3119	138.49	134.28	137.23
54.4343	138.49	132.88	136.72
54.5566	138.49	131.48	136.21
54.6789	138.49	129.39	135.69
54.8012	138.49	129.39	135.69
54.9235	138.49	129.39	135.69
55.0459	138.49	127.29	135.69
55.1682	138.49	125.18	135.69
55.2905	138.49	122.38	135.69
55.4128	138.49	122.38	135.69
55.5352	138.49	122.38	135.69
55.6575	138.49	122.38	135.69
55.7798	138.49	123.08	135.89
55.9021	138.49	126.59	136.09
56.0245	138.49	128.69	136.19
56.1468	138.49	130.78	136.28
56.2691	138.49	132.18	136.39
56.3914	138.49	132.18	136.49
56.5138	138.49	132.18	136.59
56.6361	138.49	132.18	136.49
56.7584	138.49	130.78	136.39
56.8807	138.49	128.69	136.39
57.0031	138.49	126.59	136.39
57.1254	138.49	126.59	136.49
57.2477	138.49	126.59	136.59
57.3700	138.49	126.59	136.69
57.4924	138.49	126.59	136.79
57.6147	138.49	127.99	136.99
57.7370	138.49	129.39	137.19
57.8593	138.49	131.48	137.39
57.9817	138.49	132.18	137.49
58.1040	138.49	133.58	137.69
58.2263	138.49	134.28	137.89
58.3486	138.49	134.28	138.09
58.4709	138.49	134.99	138.19
58.5933	138.49	134.99	138.29
58.7156	138.49	134.99	138.39
58.8379	138.49	134.99	138.49
58.9602	138.49	136.39	138.49
59.0826	138.49	137.79	138.49
59.2049	138.49	138.49	138.61
59.3272	138.49	138.49	138.71
59.4495	138.49	138.49	138.83
59.5719	138.49	137.79	138.95
59.6942	138.49	137.09	139.06
59.8165	138.49	136.39	139.12
59.9388	138.49	134.28	139.12
60.0612	138.49	132.18	139.00
60.1835	138.49	129.39	138.89
60.3058	138.49	127.99	138.77
60.4281	138.49	125.88	138.56
60.5505	138.49	123.08	138.34
60.6728	138.49	122.38	138.19
60.7951	138.49	122.38	138.09
60.9174	138.49	121.68	137.99
61.0398	138.49	121.68	137.89
61.1621	138.49	121.68	137.79
61.2844	138.49	121.68	137.69
61.4067	138.49	121.68	137.59
61.5291	138.49	122.38	137.49
61.6514	138.49	124.48	137.39
61.7737	138.49	125.88	137.29
61.8960	138.49	129.39	137.19
62.0183	138.49	132.88	137.09
62.1407	138.49	134.28	136.99
62.2630	138.49	134.28	136.89
62.3853	138.49	134.28	136.79
62.5076	138.49	134.28	136.69
62.6300	138.49	132.88	136.59
62.7523	138.49	129.39	136.49
62.8746	138.49	126.59	136.39
62.9969	138.49	125.88	136.39
63.1193	138.49	125.18	136.39
63.2416	138.49	125.88	136.39
63.3639	138.49	125.88	136.39
63.4862	138.49	125.88	136.39
63.6086	138.49	125.88	136.39
63.7309	138.49	125.88	136.39
63.8532	138.49	126.59	136.39
63.9755	138.49	127.29	136.39
64.0979	138.49	127.99	136.49
64.2202	138.49	129.39	136.59
64.3425	138.49	131.48	136.69
64.4648	138.49	133.58	136.79
64.5872	138.49	135.69	136.89
64.7095	138.49	135.69	136.99
64.8318	138.49	135.69	136.99
64.9541	138.49	134.28	136.89
65.0765	138.49	134.28	136.79
65.1988	138.49	134.28	136.69
65.3211	138.49	132.88	136.59
65.4434	138.49	130.78	136.49
65.5657	138.49	127.29	136.39
65.6881	138.49	125.88	136.39
65.8104	138.49	123.78	136.39
65.9327	138.49	123.78	136.39
66.0550	138.49	123.78	136.39
66.1774	138.49	123.78	136.39
66.2997	138.49	124.48	136.39
66.4220	138.49	127.29	136.49
66.5443	138.49	128.69	136.59
66.6667	138.49	130.78	136.69
66.7890	138.49	131.48	136.79
66.9113	138.49	132.18	136.89
67.0336	138.49	132.88	136.99
67.1560	138.49	134.28	137.19
67.2783	138.49	134.99	137.29
67.4006	138.49	135.69	137.39
67.5229	138.49	136.39	137.49
67.6453	138.49	136.39	137.59
67.7676	138.49	137.09	137.69
67.8899	138.49	137.09	137.79
68.0122	138.49	136.39	137.79
68.1346	138.49	136.39	137.69
68.2569	138.49	136.39	137.59
68.3792	138.49	134.99	137.49
68.5015	138.49	133.58	137.39
68.6239	138.49	132.88	137.29
68.7462	138.49	132.18	137.19
68.8685	138.49	131.48	137.09
68.9908	138.49	131.48	137.09
69.1131	138.49	131.48	137.09
69.2355	138.49	131.48	137.09
69.3578	138.49	132.88	137.09
69.4801	138.49	135.69	137.09
69.6024	138.49	135.69	137.09
69.7248	138.49	135.69	137.09
69.8471	138.49	135.69	137.09
69.9694	138.49	134.28	137.09
70.0917	138.49	134.28	137.09
70.2141	138.49	134.28	136.99
70.3364	138.49	132.88	136.89
70.4587	138.49	127.99	136.79
70.5810	138.49	125.18	136.69
70.7034	138.49	121.68	136.59
70.8257	138.49	118.88	136.49
70.9480	138.49	114.67	136.39
71.0703	138.49	113.98	136.39
71.1927	138.49	113.98	136.39
71.3150	138.49	113.98	136.39
71.4373	138.49	113.98	136.39
71.5596	138.49	116.77	136.39
71.6820	138.49	120.28	136.39
71.8043	138.49	124.48	136.39
71.9266	138.49	125.88	136.39
72.0489	138.49	132.18	136.39
72.1713	138.49	134.99	136.39
72.2936	138.49	134.99	136.39
72.4159	138.49	134.99	136.39
72.5382	138.49	134.99	136.39
72.6606	138.49	132.88	136.39
72.7829	138.49	130.78	136.39
72.9052	138.49	129.39	136.49
73.0275	138.49	129.39	136.59
73.1498	138.49	129.39	136.69
73.2722	138.49	129.39	136.79
73.3945	138.49	131.48	137.21
73.5168	138.49	135.69	137.62
73.6391	138.49	135.69	137.82
73.7615	138.49	135.69	137.92
73.8838	138.49	135.69	138.01
74.0061	138.49	135.69	138.01
74.1284	138.49	133.58	138.01
74.2508	138.49	132.18	137.70
74.3731	138.49	129.39	137.39
74.4954	138.49	129.39	137.39
74.6177	138.49	129.39	137.39
74.7401	138.49	130.09	137.39
74.8624	138.49	131.48	137.49
74.9847	138.49	132.88	137.59
75.1070	138.49	135.69	137.91
75.2294	138.49	137.09	138.22
75.3517	138.49	137.09	138.22
75.4740	138.49	135.69	138.22
75.5963	138.49	135.69	138.22
75.7187	138.49	135.69	138.22
75.8410	138.49	133.58	138.22
75.9633	138.49	132.88	138.00
76.0856	138.49	129.39	137.79
76.2080	138.49	129.39	137.89
76.3303	138.49	126.59	137.99
76.4526	138.49	125.18	138.09
76.5749	138.49	123.08	138.19
76.6972	138.49	121.68	138.29
76.8196	138.49	120.28	138.39
76.9419	138.49	120.28	138.49
77.0642	138.49	120.28	138.49
77.1865	138.49	120.98	138.55
77.3089	138.49	123.08	138.61
77.4312	138.49	125.88	138.71
77.5535	138.49	127.29	138.83
77.6758	138.49	131.48	138.95
77.7982	138.49	134.28	139.06
77.9205	138.49	137.09	139.17
78.0428	138.49	137.09	139.23
78.1651	138.49	137.09	139.29
78.2875	138.49	137.09	139.29
78.4098	138.49	137.09	139.29
78.5321	138.49	137.09	139.29
78.6544	138.49	137.09	139.29
78.7768	138.49	137.09	139.29
78.8991	138.49	137.09	139.29
79.0214	138.49	137.09	139.29
79.1437	138.49	136.39	139.29
79.2661	138.49	134.28	139.29
79.3884	138.49	132.88	139.29
79.5107	138.49	130.09	139.29
79.6330	138.49	127.29	139.29
79.7554	138.49	125.88	139.29
79.8777	138.49	125.18	139.29
80.0000	138.49	123.78	139.29
80.1223	138.49	120.98	139.29
80.2446	138.49	120.28	139.29
80.3670	138.49	120.28	139.29
80.4893	138.49	120.28	139.29
80.6116	138.49	120.28	139.29
80.7339	138.49	122.38	139.29
80.8563	138.49	125.18	139.29
80.9786	138.49	128.69	139.29
81.1009	138.49	131.48	139.29
81.2232	138.49	132.18	139.29
81.3456	138.49	137.09	139.29
81.4679	138.49	137.09	139.29
81.5902	138.49	137.79	139.17
81.7125	138.49	137.09	139.06
81.8349	138.49	134.99	138.95
81.9572	138.49	132.88	138.83
82.0795	138.49	129.39	138.71
82.2018	138.49	127.29	138.61
82.3242	138.49	125.88	138.49
82.4465	138.49	125.88	138.49
82.5688	138.49	125.88	138.49
82.6911	138.49	125.88	138.49
82.8135	138.49	125.88	138.49
82.9358	138.49	127.99	138.49
83.0581	138.49	130.78	138.49
83.1804	138.49	132.88	138.61
83.3028	138.49	134.99	138.71
83.4251	138.49	136.39	138.83
83.5474	138.49	137.09	138.83
83.6697	138.49	137.09	138.83
83.7920	138.49	138.49	138.83
83.9144	138.49	137.79	138.73
84.0367	138.49	137.09	138.52
84.1590	138.49	134.99	138.31
84.2813	138.49	133.58	138.09
84.4037	138.49	132.88	137.99
84.5260	138.49	132.18	137.89
84.6483	138.49	131.48	137.79
84.7706	138.49	130.78	137.79
84.8930	138.49	130.78	137.79
