# Time(s)	Target_GMPP(W)	Proposed_Method(W)
4.3922	81.50	80.00
4.3978	81.50	80.20
4.4032	81.50	80.31
4.4088	81.50	80.26
4.4143	81.50	80.17
4.4199	81.50	80.39
4.4253	81.50	80.44
4.4309	81.50	80.15
4.4364	81.50	80.20
4.4420	81.50	80.11
4.4474	81.50	80.35
4.4530	81.50	80.13
4.4585	81.50	80.27
4.4641	81.50	80.21
4.4751	81.50	80.24
4.4862	81.50	80.22
4.4972	81.50	80.37
4.5083	81.50	80.20
4.5193	81.50	80.32
4.5304	81.50	80.24
4.5414	81.50	80.23
4.5525	81.50	80.39
4.5579	81.50	80.29
4.5635	81.50	80.39
4.5690	81.50	80.37
4.5746	81.50	80.22
4.5800	81.50	80.34
4.5856	81.50	80.31
4.5910	81.50	80.22
4.5967	81.50	80.26
4.6021	81.50	80.34
4.6077	81.50	80.24
4.6131	81.50	80.33
4.6188	81.50	80.15
4.6242	81.50	80.25
4.6298	81.50	80.21
4.6352	81.50	80.26
4.6409	81.50	80.22
4.6463	81.50	80.22
4.6519	81.50	80.23
4.6573	81.50	80.41
4.6630	81.50	80.11
4.6684	81.50	80.30
4.6740	81.50	80.40
4.6794	81.50	80.35
4.6851	81.50	80.28
4.6905	81.50	80.28
4.6961	81.50	80.28
4.7015	81.50	80.31
4.7072	81.50	80.19
4.7126	81.50	80.33
4.7182	81.50	80.31
4.7236	81.50	80.29
4.7293	81.50	80.34
4.7403	81.50	80.36
4.7514	81.50	80.06
4.7624	81.50	80.06
4.7735	81.50	80.06
4.7845	81.50	80.06
4.7956	81.50	80.27
4.8066	81.50	80.27
4.8177	81.50	80.27
4.8287	81.50	80.27
4.8398	81.50	80.27
4.8508	81.50	80.06
4.8619	81.50	80.06
4.8729	81.50	80.06
4.8840	81.50	80.06
4.8950	81.50	80.06
4.9061	81.50	80.27
4.9171	81.50	80.27
4.9282	81.50	80.27
4.9392	81.50	80.27
4.9503	81.50	80.27
4.9613	81.50	80.06
4.9724	81.50	80.06
4.9834	81.50	80.06
4.9945	81.50	80.06
5.0055	81.50	80.27
5.0166	81.50	80.27
5.0276	81.50	80.27
5.0387	81.50	80.27
5.0497	81.50	80.27
5.0608	81.50	80.27
5.0718	81.50	80.06
5.0829	81.50	80.06
5.0939	81.50	80.06
5.1050	81.50	80.06
5.1160	81.50	80.27
5.1271	81.50	80.27
5.1381	81.50	80.27
5.1492	81.50	80.27
5.1602	81.50	80.27
5.1713	81.50	80.27
5.1823	81.50	80.06
5.1934	81.50	80.06
5.2044	81.50	80.06
5.2155	81.50	80.06
5.2265	81.50	80.27
5.2376	81.50	80.27
5.2486	81.50	80.27
5.2597	81.50	80.27
5.2707	81.50	80.27
5.2818	81.50	80.06
5.2928	81.50	80.06
5.3039	81.50	80.06
5.3149	81.50	80.06
5.3260	81.50	80.06
5.3370	81.50	80.27
5.3481	81.50	80.27
5.3591	81.50	80.27
5.3702	81.50	80.27
5.3812	81.50	80.27
5.3923	81.50	80.06
5.4033	81.50	80.06
5.4144	81.50	80.06
5.4254	81.50	80.06
5.4365	81.50	80.27
5.4475	81.50	80.27
5.4586	81.50	80.27
5.4696	81.50	80.27
5.4807	81.50	80.27
5.4917	81.50	80.27
5.5028	81.50	80.06
5.5138	81.50	80.06
5.5249	81.50	80.06
5.5359	81.50	80.06
5.5470	81.50	80.27
5.5580	81.50	80.27
5.5691	81.50	80.27
5.5801	81.50	80.27
5.5912	81.50	80.27
5.6022	81.50	80.06
5.6133	81.50	80.06
5.6243	81.50	80.06
5.6354	81.50	80.06
5.6464	81.50	80.06
5.6575	81.50	80.27
5.6685	81.50	80.27
5.6796	81.50	80.27
5.6906	81.50	80.27
5.7017	81.50	80.27
5.7127	81.50	80.06
5.7238	81.50	80.06
5.7348	81.50	80.06
5.7459	81.50	80.06
5.7569	81.50	80.06
5.7680	81.50	80.27
5.7790	81.50	80.27
5.7901	81.50	80.27
5.8011	81.50	80.27
5.8122	81.50	80.27
5.8232	81.50	80.06
5.8343	81.50	80.06
5.8453	81.50	80.06
5.8564	81.50	80.06
5.8674	81.50	80.27
5.8785	81.50	80.27
5.8895	81.50	80.27
5.9006	81.50	80.27
5.9116	81.50	80.27
5.9227	81.50	80.27
5.9337	81.50	80.06
5.9448	81.50	80.06
5.9558	81.50	80.06
5.9669	81.50	80.06
5.9779	81.50	80.27
5.9890	81.50	79.00
5.9944	81.50	91.67
6.0000	131.19	98.85
6.0054	131.19	40.16
6.0110	131.19	0.05
6.0165	131.19	98.85
6.0221	131.19	60.43
6.0275	131.19	0.05
6.0331	131.19	7.65
6.0386	131.19	60.85
6.0442	131.19	46.07
6.0496	131.19	11.03
6.0552	131.19	19.89
6.0607	131.19	36.36
6.0663	131.19	34.25
6.0717	131.19	25.80
6.0773	131.19	25.80
6.0828	131.19	44.38
6.0884	131.19	44.80
6.0938	131.19	19.89
6.0994	131.19	19.47
6.1049	131.19	51.56
6.1105	131.19	53.67
6.1159	131.19	16.51
6.1215	131.19	16.09
6.1270	131.19	55.36
6.1326	131.19	64.23
6.1380	131.19	24.11
6.1436	131.19	37.20
6.1491	131.19	68.45
6.1547	131.19	68.87
6.1601	131.19	5.96
6.1657	131.19	5.96
6.1712	131.19	71.40
6.1768	131.19	72.25
6.1822	131.19	35.09
6.1878	131.19	35.09
6.1933	131.19	76.89
6.1989	131.19	68.45
6.2043	131.19	100.12
6.2099	131.19	110.25
6.2154	131.19	81.54
6.2210	131.19	86.60
6.2264	131.19	109.83
6.2320	131.19	100.96
6.2375	131.19	91.25
6.2431	131.19	91.67
6.2485	131.19	119.96
6.2541	131.19	122.92
6.2596	131.19	100.12
6.2652	131.19	110.25
6.2706	131.19	124.60
6.2762	131.19	127.56
6.2817	131.19	110.67
6.2873	131.19	118.27
6.2927	131.19	130.94
6.2983	131.19	131.36
6.3038	131.19	128.40
6.3094	131.19	128.40
6.3148	131.19	131.36
6.3204	131.19	131.36
6.3259	131.19	128.40
6.3315	131.19	130.09
6.3425	131.19	130.73
6.3536	131.19	130.94
6.3646	131.19	130.94
6.3757	131.19	131.15
6.3867	131.19	131.15
6.3978	131.19	131.15
6.4088	131.19	131.15
6.4199	131.19	131.15
6.4309	131.19	131.15
6.4420	131.19	131.15
6.4530	131.19	131.15
6.4641	131.19	131.15
6.4751	131.19	131.15
6.4862	131.19	131.15
6.4972	131.19	131.15
6.5083	131.19	131.15
6.5193	131.19	131.15
6.5304	131.19	131.15
6.5414	131.19	131.15
6.5525	131.19	131.15
6.5635	131.19	131.15
6.5746	131.19	131.15
6.5856	131.19	131.15
6.5967	131.19	131.15
6.6077	131.19	131.15
6.6188	131.19	131.15
6.6298	131.19	131.15
6.6409	131.19	131.15
6.6519	131.19	131.15
6.6630	131.19	131.15
6.6740	131.19	131.15
6.6851	131.19	131.15
6.6961	131.19	131.15
6.7072	131.19	131.15
6.7182	131.19	131.15
6.7293	131.19	131.15
6.7403	131.19	131.15
6.7514	131.19	131.15
6.7624	131.19	131.15
6.7735	131.19	131.15
6.7845	131.19	131.15
6.7956	131.19	131.15
6.8066	131.19	131.15
6.8177	131.19	131.15
6.8287	131.19	131.15
6.8398	131.19	131.15
6.8508	131.19	131.15
6.8619	131.19	131.15
6.8729	131.19	131.15
6.8840	131.19	131.15
6.8950	131.19	131.15
6.9061	131.19	131.15
6.9171	131.19	131.15
6.9282	131.19	131.15
6.9392	131.19	131.15
6.9503	131.19	131.15
6.9613	131.19	131.15
6.9724	131.19	131.15
6.9834	131.19	131.15
6.9945	131.19	131.15
7.0055	131.19	131.15
7.0166	131.19	131.15
7.0276	131.19	131.15
7.0387	131.19	131.15
7.0497	131.19	131.15
7.0608	131.19	131.15
7.0718	131.19	131.15
7.0829	131.19	131.15
7.0939	131.19	131.15
7.1050	131.19	131.15
7.1160	131.19	131.15
7.1271	131.19	131.15
7.1381	131.19	131.15
7.1492	131.19	131.15
7.1602	131.19	131.15
7.1713	131.19	131.15
7.1823	131.19	131.15
7.1934	131.19	131.15
7.2044	131.19	131.15
7.2155	131.19	131.15
7.2265	131.19	131.15
7.2376	131.19	131.15
7.2486	131.19	131.15
7.2597	131.19	131.15
7.2707	131.19	131.15
7.2818	131.19	131.15
7.2928	131.19	131.15
7.3039	131.19	131.15
7.3149	131.19	131.15
7.3260	131.19	131.15
7.3370	131.19	131.15
7.3481	131.19	131.15
7.3591	131.19	131.15
7.3702	131.19	131.15
7.3812	131.19	131.15
7.3923	131.19	131.15
7.4033	131.19	131.15
7.4144	131.19	131.15
7.4254	131.19	131.15
7.4365	131.19	131.15
7.4475	131.19	131.15
7.4586	131.19	131.15
7.4696	131.19	131.15
7.4807	131.19	131.15
7.4917	131.19	131.15
