# Time(s)	Target_GMPP(W)	M1_Standard_INC(W)	M2_INC_Fuzzy(W)
49.4190	142.53	138.93	140.37
49.5413	142.53	138.93	140.37
49.6636	142.53	136.76	140.26
49.7859	142.53	134.60	140.16
49.9083	142.53	131.72	140.06
50.0306	142.53	126.67	139.96
50.1529	142.53	125.95	139.85
50.2752	142.53	125.95	139.75
50.3976	142.53	125.95	140.18
50.5199	142.53	125.95	140.71
50.6422	142.53	128.11	141.23
50.7645	142.53	131.72	141.76
50.8869	142.53	135.32	142.29
51.0092	142.53	137.48	142.82
51.1315	142.53	137.48	143.35
51.2538	142.53	137.48	142.72
51.3761	142.53	137.48	142.09
51.4985	142.53	137.48	141.46
51.6208	142.53	136.76	140.82
51.7431	142.53	134.60	140.19
51.8654	142.53	133.88	139.56
51.9878	142.53	133.88	138.93
52.1101	142.53	133.88	138.93
52.2324	142.53	133.88	138.93
52.3547	142.53	133.88	138.93
52.4771	142.53	134.60	139.03
52.5994	142.53	135.32	139.13
52.7217	142.53	136.04	139.23
52.8440	142.53	136.04	139.34
52.9664	142.53	136.76	139.44
53.0887	142.53	136.76	139.54
53.2110	142.53	136.76	139.65
53.3333	142.53	137.48	139.65
53.4557	142.53	138.20	139.65
53.5780	142.53	138.20	140.18
53.7003	142.53	138.20	140.71
53.8226	142.53	138.93	141.23
53.9450	142.53	138.93	141.23
54.0673	142.53	139.65	141.23
54.1896	142.53	140.37	141.23
54.3119	142.53	138.20	141.23
54.4343	142.53	136.76	140.71
54.5566	142.53	135.32	140.18
54.6789	142.53	133.16	139.65
54.8012	142.53	133.16	139.65
54.9235	142.53	133.16	139.65
55.0459	142.53	131.00	139.65
55.1682	142.53	128.83	139.65
55.2905	142.53	125.95	139.65
55.4128	142.53	125.95	139.65
55.5352	142.53	125.95	139.65
55.6575	142.53	125.95	139.65
55.7798	142.53	126.67	139.85
55.9021	142.53	130.28	140.06
56.0245	142.53	132.44	140.16
56.1468	142.53	134.60	140.26
56.2691	142.53	136.04	140.37
56.3914	142.53	136.04	140.47
56.5138	142.53	136.04	140.57
56.6361	142.53	136.04	140.47
56.7584	142.53	134.60	140.37
56.8807	142.53	132.44	140.37
57.0031	142.53	130.28	140.37
57.1254	142.53	130.28	140.47
57.2477	142.53	130.28	140.57
57.3700	142.53	130.28	140.68
57.4924	142.53	130.28	140.78
57.6147	142.53	131.72	140.99
57.7370	142.53	133.16	141.19
57.8593	142.53	135.32	141.40
57.9817	142.53	136.04	141.50
58.1040	142.53	137.48	141.71
58.2263	142.53	138.20	141.91
58.3486	142.53	138.20	142.12
58.4709	142.53	138.93	142.22
58.5933	142.53	138.93	142.32
58.7156	142.53	138.93	142.43
58.8379	142.53	138.93	142.53
58.9602	142.53	140.37	142.53
59.0826	142.53	141.81	142.53
59.2049	142.53	142.53	142.65
59.3272	142.53	142.53	142.76
59.4495	142.53	142.53	142.88
59.5719	142.53	141.81	143.00
59.6942	142.53	141.09	143.12
59.8165	142.53	140.37	143.18
59.9388	142.53	138.20	143.18
60.0612	142.53	136.04	143.06
60.1835	142.53	133.16	142.94
60.3058	142.53	131.72	142.82
60.4281	142.53	129.55	142.60
60.5505	142.53	126.67	142.38
60.6728	142.53	125.95	142.22
60.7951	142.53	125.95	142.12
60.9174	142.53	125.23	142.02
61.0398	142.53	125.23	141.91
61.1621	142.53	125.23	141.81
61.2844	142.53	125.23	141.71
61.4067	142.53	125.23	141.60
61.5291	142.53	125.95	141.50
61.6514	142.53	128.11	141.40
61.7737	142.53	129.55	141.29
61.8960	142.53	133.16	141.19
62.0183	142.53	136.76	141.09
62.1407	142.53	138.20	140.99
62.2630	142.53	138.20	140.88
62.3853	142.53	138.20	140.78
62.5076	142.53	138.20	140.68
62.6300	142.53	136.76	140.57
62.7523	142.53	133.16	140.47
62.8746	142.53	130.28	140.37
62.9969	142.53	129.55	140.37
63.1193	142.53	128.83	140.37
63.2416	142.53	129.55	140.37
63.3639	142.53	129.55	140.37
63.4862	142.53	129.55	140.37
63.6086	142.53	129.55	140.37
63.7309	142.53	129.55	140.37
